time, theta_1, theta_2, phase_diff
1.080000, 0.890159, -0.537400, 2.611250

1.090000, 0.973909, -0.735116, 2.625570

1.100000, 0.999882, -0.883914, 2.639571

1.110000, 0.966422, -0.974016, 2.653255

1.120000, 0.875407, -0.999563, 2.666624

1.130000, 0.732153, -0.958982, 2.679682

1.140000, 0.545114, -0.855071, 2.692431

1.150000, 0.325386, -0.694797, 2.704874

1.160000, 0.086057, -0.488823, 2.717016

1.170000, -0.158570, -0.250784, 2.728860

1.180000, -0.393830, 0.003613, 2.740411

1.190000, -0.605577, 0.257632, 2.751672

1.200000, -0.781041, 0.494610, 2.762649

1.210000, -0.909596, 0.699046, 2.773345

1.220000, -0.983417, 0.857608, 2.783766

1.230000, -0.997960, 0.960000, 2.793917

1.240000, -0.952252, 0.999621, 2.803803

1.250000, -0.848961, 0.973981, 2.813429

1.260000, -0.694247, 0.884847, 2.822799

1.270000, -0.497406, 0.738119, 2.831920

1.280000, -0.270312, 0.543426, 2.840796

1.290000, -0.026704, 0.313492, 2.849432

1.300000, 0.218638, 0.063297, 2.857835

1.310000, 0.450798, -0.190896, 2.866008

1.320000, 0.655627, -0.432602, 2.873958

1.330000, 0.820608, -0.646181, 2.881689

1.340000, 0.935631, -0.817845, 2.889206

1.350000, 0.993613, -0.936544, 2.896515

1.360000, 0.990942, -0.994672, 2.903621

1.370000, 0.927709, -0.988545, 2.910528

1.380000, 0.807710, -0.918634, 2.917241

1.390000, 0.638227, -0.789516, 2.923766

1.400000, 0.429588, -0.609573, 2.930107

1.410000, 0.194541, -0.390443, 2.936269

1.420000, -0.052520, -0.146265, 2.942256

1.430000, -0.296440, 0.107237, 2.948073

1.440000, -0.522231, 0.353768, 2.953725

1.450000, -0.715994, 0.577505, 2.959215

1.460000, -0.865781, 0.764112, 2.964548

1.470000, -0.962330, 0.901655, 2.969728

1.480000, -0.999648, 0.981362, 2.974760

1.490000, -0.975383, 0.998177, 2.979647

1.500000, -0.890979, 0.951075, 2.984394

1.510000, -0.751594, 0.843123, 2.989003

1.520000, -0.565786, 0.681272, 2.993479

1.530000, -0.344993, 0.475910, 2.997826

1.540000, -0.102833, 0.240189, 3.002047

1.550000, 0.145742, -0.010816, 3.006146

1.560000, 0.385363, -0.261073, 3.010126

1.570000, 0.601195, -0.494616, 3.013990

1.580000, 0.779863, -0.696563, 3.017741

1.590000, 0.910277, -0.854062, 3.021384

1.600000, 0.984326, -0.957105, 3.024920

1.610000, 0.997386, -0.999163, 3.028354

1.620000, 0.948608, -0.977595, 3.031687

1.630000, 0.840984, -0.893809, 3.034922

1.640000, 0.681157, -0.753172, 3.038064

1.650000, 0.479021, -0.564658, 3.041113

1.660000, 0.247105, -0.340277, 3.044073

1.670000, -0.000199, -0.094307, 3.046946

1.680000, -0.247532, 0.157615, 3.049736

1.690000, -0.479518, 0.399486, 3.052443

1.700000, -0.681726, 0.615955, 3.055071

1.710000, -0.841563, 0.793294, 3.057622

1.720000, -0.949067, 0.920268, 3.060098

1.730000, -0.997522, 0.988845, 3.062502

1.740000, -0.983888, 0.994701, 3.064835

1.750000, -0.908988, 0.937489, 3.067099

1.760000, -0.777463, 0.820862, 3.069297

1.770000, -0.597485, 0.652231, 3.071430

1.780000, -0.380252, 0.442300, 3.073500

1.790000, -0.139292, 0.204379, 3.075510

1.800000, 0.110381, -0.046457, 3.077460

1.810000, 0.353198, -0.294323, 3.079353

1.820000, 0.574011, -0.523534, 3.081190

1.830000, 0.759036, -0.719590, 3.082973

1.840000, 0.896716, -0.870100, 3.084704

1.850000, 0.978443, -0.965556, 3.086383

1.860000, 0.999097, -0.999939, 3.088013

1.870000, 0.957372, -0.971091, 3.089595

1.880000, 0.855856, -0.880855, 3.091131

1.890000, 0.700873, -0.734949, 3.092621

1.900000, 0.502092, -0.542610, 3.094067

1.910000, 0.271923, -0.316002, 3.095471

1.920000, 0.024742, -0.069448, 3.096833

1.930000, -0.224005, 0.181474, 3.098155

1.940000, -0.458768, 0.420915, 3.099438

1.950000, -0.664865, 0.633759, 3.100683

1.960000, -0.829402, 0.806575, 3.101892

1.970000, -0.942079, 0.928461, 3.103064

1.980000, -0.995839, 0.991736, 3.104202

1.990000, -0.987305, 0.992417, 3.105307

2.000000, -0.916999, 0.930474, 3.106379

2.010000, -0.789309, 0.809827, 3.107419

2.020000, -0.612216, 0.638097, 3.108429

2.030000, -0.396795, 0.426127, 3.109409

2.040000, -0.156525, 0.187292, 3.110360

2.050000, 0.093558, -0.063342, 3.111282

2.060000, 0.337796, -0.309968, 3.112178

2.070000, 0.560896, -0.537038, 3.113047

2.080000, 0.748882, -0.730238, 3.113890

2.090000, 0.889975, -0.877396, 3.114709

2.100000, 0.975332, -0.969242, 3.115503

2.110000, 0.999598, -0.999995, 3.116274

2.120000, 0.961243, -0.967726, 3.117022

2.130000, 0.862663, -0.874477, 3.117748

2.140000, 0.710027, -0.726130, 3.118453

2.150000, 0.512892, -0.532039, 3.119137

2.160000, 0.283609, -0.304437, 3.119800

2.170000, 0.036542, -0.057666, 3.120444

2.180000, -0.212825, 0.192728, 3.121069

2.190000, -0.448860, 0.430974, 3.121676

2.200000, -0.656766, 0.642069, 3.122264

2.210000, -0.823506, 0.812721, 3.122835

2.220000, -0.938622, 0.932188, 3.123390

2.230000, -0.994891, 0.992953, 3.123928

2.240000, -0.988780, 0.991195, 3.124450

2.250000, -0.920664, 0.927031, 3.124956

2.260000, -0.794812, 0.804505, 3.125448

2.270000, -0.619110, 0.631337, 3.125925

