initial_phase_difference, sync_required_time
0.797965, 2.410000
0.801106, 2.410000
0.804248, 2.400000
0.807389, 2.400000
0.810531, 2.400000
0.813672, 2.390000
0.816814, 2.390000
0.819956, 2.390000
0.823097, 2.380000
0.826239, 2.380000
0.829380, 2.380000
0.832522, 2.370000
0.835664, 2.370000
0.838805, 2.370000
0.841947, 2.370000
0.845088, 2.360000
0.848230, 2.360000
0.851372, 2.360000
0.854513, 2.350000
0.857655, 2.350000
0.860796, 2.350000
0.863938, 2.340000
0.867080, 2.340000
0.870221, 2.340000
0.873363, 2.330000
0.876504, 2.330000
0.879646, 2.330000
0.882788, 2.330000
0.885929, 2.320000
0.889071, 2.320000
0.892212, 2.320000
0.895354, 2.310000
0.898495, 2.310000
0.901637, 2.310000
0.904779, 2.300000
0.907920, 2.300000
0.911062, 2.300000
0.914203, 2.300000
0.917345, 2.290000
0.920487, 2.290000
0.923628, 2.290000
0.926770, 2.290000
0.929911, 2.280000
0.933053, 2.280000
0.936195, 2.280000
0.939336, 2.270000
0.942478, 2.270000
0.945619, 2.270000
0.948761, 2.270000
0.951903, 2.260000
0.955044, 2.260000
0.958186, 2.260000
0.961327, 2.250000
0.964469, 2.250000
0.967611, 2.250000
0.970752, 2.250000
0.973894, 2.240000
0.977035, 2.240000
0.980177, 2.240000
0.983319, 2.240000
0.986460, 2.230000
0.989602, 2.230000
0.992743, 2.230000
0.995885, 2.230000
0.999026, 2.220000
1.002168, 2.220000
1.005310, 2.220000
1.008451, 2.220000
1.011593, 2.210000
1.014734, 2.210000
1.017876, 2.210000
1.021018, 2.210000
1.024159, 2.200000
1.027301, 2.200000
1.030442, 2.200000
1.033584, 2.200000
1.036726, 2.190000
1.039867, 2.190000
1.043009, 2.190000
1.046150, 2.190000
1.049292, 2.180000
1.052434, 2.180000
1.055575, 2.180000
1.058717, 2.180000
1.061858, 2.170000
1.065000, 2.170000
1.068142, 2.170000
1.071283, 2.170000
1.074425, 2.160000
1.077566, 2.160000
1.080708, 2.160000
1.083849, 2.160000
1.086991, 2.160000
1.090133, 2.150000
1.093274, 2.150000
1.096416, 2.150000
1.099557, 2.150000
1.102699, 2.140000
1.105841, 2.140000
1.108982, 2.140000
1.112124, 2.140000
1.115265, 2.130000
1.118407, 2.130000
1.121549, 2.130000
1.124690, 2.130000
1.127832, 2.130000
1.130973, 2.120000
1.134115, 2.120000
1.137257, 2.120000
1.140398, 2.120000
1.143540, 2.110000
1.146681, 2.110000
1.149823, 2.110000
1.152965, 2.110000
1.156106, 2.110000
1.159248, 2.100000
1.162389, 2.100000
1.165531, 2.100000
1.168672, 2.100000
1.171814, 2.100000
1.174956, 2.090000
1.178097, 2.090000
1.181239, 2.090000
1.184380, 2.090000
1.187522, 2.090000
1.190664, 2.080000
1.193805, 2.080000
1.196947, 2.080000
1.200088, 2.080000
1.203230, 2.070000
1.206372, 2.070000
1.209513, 2.070000
1.212655, 2.070000
1.215796, 2.070000
1.218938, 2.060000
1.222080, 2.060000
1.225221, 2.060000
1.228363, 2.060000
1.231504, 2.060000
1.234646, 2.050000
1.237788, 2.050000
1.240929, 2.050000
1.244071, 2.050000
1.247212, 2.050000
1.250354, 2.040000
1.253495, 2.040000
1.256637, 2.040000
1.259779, 2.040000
1.262920, 2.040000
1.266062, 2.030000
1.269203, 2.030000
1.272345, 2.030000
1.275487, 2.030000
1.278628, 2.030000
1.281770, 2.030000
1.284911, 2.020000
1.288053, 2.020000
