gamma, StableEquil_1, StableEquil_2, UnstableEquil_1, UnstableEquil_2
0.126, 0.000000, 3.147876, 0.006283, -1
0.127, 0.000000, 3.147876, 0.006283, -1
0.128, 0.000000, 3.147876, 0.006283, -1
0.129, 0.000000, 3.147876, 0.006283, -1
0.130, 0.000000, 3.147876, 0.006283, -1
0.131, 0.000000, 3.147876, 0.006283, -1
0.132, 0.000000, 3.147876, 0.006283, -1
0.133, 0.000000, 3.147876, 0.006283, -1
0.134, 0.000000, 3.147876, 0.006283, -1
0.135, 0.000000, 3.147876, 0.006283, -1
0.136, 0.000000, 3.147876, 0.006283, -1
0.137, 0.000000, 3.147876, 0.006283, -1
0.138, 0.000000, 3.147876, 0.006283, -1
0.139, 0.000000, 3.147876, 0.006283, -1
0.140, 0.000000, 3.147876, 0.006283, -1
0.141, 0.000000, 3.147876, 0.006283, -1
0.142, 0.000000, 3.147876, 0.006283, -1
0.143, 0.000000, 3.147876, 0.006283, -1
0.144, 0.000000, 3.147876, 0.006283, -1
0.145, 0.000000, 3.147876, 0.006283, -1
0.146, 0.000000, 3.147876, 0.006283, -1
0.147, 0.000000, 3.147876, 0.006283, -1
0.148, 0.000000, 3.147876, 0.006283, -1
0.149, 0.000000, 3.147876, 0.006283, -1
0.150, 0.000000, 3.147876, 0.006283, -1
0.151, 0.000000, 3.147876, 0.006283, -1
0.152, 0.000000, 3.147876, 0.006283, -1
0.153, 0.000000, 3.147876, 0.006283, -1
0.154, 0.000000, 3.147876, 0.006283, -1
0.155, 0.000000, 3.147876, 0.006283, -1
0.156, 0.000000, 3.147876, 0.006283, -1
0.157, 0.000000, 3.147876, 0.006283, -1
0.158, 0.000000, 3.147876, 0.006283, -1
0.159, 0.000000, 3.147876, 0.006283, -1
0.160, 0.000000, 3.147876, 0.006283, -1
0.161, 0.000000, 3.147876, 0.006283, -1
0.162, 0.000000, 3.147876, 0.006283, -1
0.163, 0.000000, 3.147876, 0.006283, -1
0.164, 0.000000, 3.147876, 0.006283, -1
0.165, 0.000000, 3.147876, 0.006283, -1
0.166, 0.000000, 3.147876, 0.006283, -1
0.167, 0.000000, 3.147876, 0.006283, -1
0.168, 0.000000, 3.147876, 0.006283, -1
0.169, 0.000000, 3.147876, 0.006283, -1
0.170, 0.000000, 3.147876, 0.006283, -1
0.171, 0.000000, 3.147876, 0.006283, -1
0.172, 0.000000, 3.147876, 0.006283, -1
0.173, 0.000000, 3.147876, 0.006283, -1
0.174, 0.000000, 3.147876, 0.006283, -1
0.175, 0.000000, 3.147876, 0.006283, -1
0.176, 0.000000, 3.147876, 0.006283, -1
0.177, 0.000000, 3.147876, 0.006283, -1
0.178, 0.000000, 3.147876, 0.006283, -1
0.179, 0.000000, 3.147876, 0.006283, -1
0.180, 0.000000, 3.147876, 0.006283, -1
0.181, 0.000000, 3.147876, 0.006283, -1
0.182, 0.000000, 3.147876, 0.006283, -1
0.183, 0.000000, 3.147876, 0.006283, -1
0.184, 0.000000, 3.147876, 0.006283, -1
0.185, 0.000000, 3.147876, 0.006283, -1
0.186, 0.000000, 3.147876, 0.006283, -1
0.187, 0.000000, 3.147876, 0.006283, -1
0.188, 0.000000, 3.147876, 0.006283, -1
0.189, 0.000000, 3.147876, 0.006283, -1
0.190, 0.000000, 3.147876, 0.006283, -1
0.191, 0.000000, 3.147876, 0.006283, -1
0.192, 0.000000, 3.147876, 0.006283, -1
0.193, 0.000000, 3.147876, 0.006283, -1
0.194, 0.000000, 3.147876, 0.006283, -1
0.195, 0.000000, 3.147876, 0.006283, -1
0.196, 0.000000, 3.147876, 0.006283, -1
0.197, 0.000000, 3.147876, 0.006283, -1
0.198, 0.000000, 3.147876, 0.006283, -1
0.199, 0.000000, 3.147876, 0.006283, -1
0.200, 0.000000, 3.147876, 0.006283, -1
0.201, 0.000000, 3.147876, 0.006283, -1
0.202, 0.000000, 3.147876, 0.006283, -1
0.203, 0.000000, 3.147876, 0.006283, -1
0.204, 0.000000, 3.147876, 0.006283, -1
0.205, 0.000000, 3.147876, 0.006283, -1
0.206, 0.000000, 3.147876, 0.006283, -1
0.207, 0.000000, 3.147876, 0.006283, -1
0.208, 0.000000, 3.147876, 0.006283, -1
0.209, 0.000000, 3.147876, 0.006283, -1
0.210, 0.000000, 3.147876, 0.006283, -1
0.211, 0.000000, 3.147876, 0.006283, -1
0.212, 0.000000, 3.147876, 0.006283, -1
0.213, 0.000000, 3.147876, 0.006283, -1
0.214, 0.000000, 3.147876, 0.006283, -1
0.215, 0.000000, 3.147876, 0.006283, -1
0.216, 0.000000, 3.147876, 0.006283, -1
0.217, 0.000000, 3.147876, 0.006283, -1
0.218, 0.000000, 3.147876, 0.006283, -1
0.219, 0.000000, 3.147876, 0.006283, -1
0.220, 0.000000, 3.147876, 0.006283, -1
0.221, 0.000000, 3.147876, 0.006283, -1
0.222, 0.000000, 3.147876, 0.006283, -1
0.223, 0.000000, 3.147876, 0.006283, -1
0.224, 0.000000, 3.147876, 0.006283, -1
0.225, 0.000000, 3.147876, 0.006283, -1
0.226, 0.000000, 3.147876, 0.006283, -1
0.227, 0.000000, 3.147876, 0.006283, -1
0.228, 0.000000, 3.147876, 0.006283, -1
0.229, 0.000000, 3.147876, 0.006283, -1
0.230, 0.000000, 3.147876, 0.006283, -1
0.231, 0.000000, 3.147876, 0.006283, -1
0.232, 0.000000, 3.147876, 0.006283, -1
0.233, 0.000000, 3.147876, 0.006283, -1
0.234, 0.000000, 3.147876, 0.006283, -1
0.235, 0.000000, 3.147876, 0.006283, -1
0.236, 0.000000, 3.147876, 0.006283, -1
0.237, 0.000000, 3.147876, 0.006283, -1
0.238, 0.000000, 3.147876, 0.006283, -1
0.239, 0.000000, 3.147876, 0.006283, -1
0.240, 0.000000, 3.147876, 0.006283, -1
0.241, 0.000000, 3.147876, 0.006283, -1
0.242, 0.000000, 3.147876, 0.006283, -1
0.243, 0.000000, 3.147876, 0.006283, -1
0.244, 0.000000, 3.147876, 0.006283, -1
0.245, 0.000000, 3.147876, 0.006283, -1
0.246, 0.000000, 3.147876, 0.006283, -1
0.247, 0.000000, 3.147876, 0.006283, -1
0.248, 0.000000, 3.147876, 0.006283, -1
0.249, 0.000000, 3.147876, 0.006283, -1
0.250, 0.000000, 3.147876, 0.006283, -1
0.251, 0.000000, 3.147876, 0.006283, -1
0.252, 0.000000, 3.147876, 0.006283, -1
0.253, 0.000000, 3.147876, 0.006283, -1
0.254, 0.000000, 3.147876, 0.006283, -1
0.255, 0.000000, 3.147876, 0.006283, -1
0.256, 0.000000, 3.147876, 0.006283, -1
0.257, 0.000000, 3.147876, 0.006283, -1
0.258, 0.000000, 3.147876, 0.006283, -1
0.259, 0.000000, 3.147876, 0.006283, -1
0.260, 0.000000, 3.147876, 0.006283, -1
0.261, 0.000000, 3.147876, 0.006283, -1
0.262, 0.000000, 3.147876, 0.006283, -1
0.263, 0.000000, 3.147876, 0.006283, -1
0.264, 0.000000, 3.147876, 0.006283, -1
0.265, 0.000000, 3.147876, 0.006283, -1
0.266, 0.000000, 3.147876, 0.006283, -1
0.267, 0.000000, 3.147876, 0.006283, -1
0.268, 0.000000, 3.147876, 0.006283, -1
0.269, 0.000000, 3.147876, 0.006283, -1
0.270, 0.000000, 3.147876, 0.006283, -1
0.271, 0.000000, 3.147876, 0.006283, -1
0.272, 0.000000, 3.147876, 0.006283, -1
0.273, 0.000000, 3.147876, 0.006283, -1
0.274, 0.000000, 3.147876, 0.006283, -1
0.275, 0.000000, 3.147876, 0.006283, -1
0.276, 0.000000, 3.147876, 0.006283, -1
0.277, 0.000000, 3.147876, 0.006283, -1
0.278, 0.000000, 3.147876, 0.006283, -1
0.279, 0.000000, 3.147876, 0.006283, -1
0.280, 0.000000, 3.147876, 0.006283, -1
0.281, 0.000000, 3.147876, 0.006283, -1
0.282, 0.000000, 3.147876, 0.006283, -1
0.283, 0.000000, 3.147876, 0.006283, -1
0.284, 0.000000, 3.147876, 0.006283, -1
0.285, 0.000000, 3.147876, 0.006283, -1
0.286, 0.000000, 3.147876, 0.006283, -1
0.287, 0.000000, 3.147876, 0.006283, -1
0.288, 0.000000, 3.147876, 0.006283, -1
0.289, 0.000000, 3.147876, 0.006283, -1
0.290, 0.000000, 3.147876, 0.006283, -1
0.291, 0.000000, 3.147876, 0.006283, -1
0.292, 0.000000, 3.147876, 0.006283, -1
0.293, 0.000000, 3.147876, 0.006283, -1
0.294, 0.000000, 3.147876, 0.006283, -1
0.295, 0.000000, 3.147876, 0.006283, -1
0.296, 0.000000, 3.147876, 0.006283, -1
0.297, 0.000000, 3.147876, 0.006283, -1
0.298, 0.000000, 3.147876, 0.006283, -1
0.299, 0.000000, 3.147876, 0.006283, -1
0.300, 0.000000, 3.147876, 0.006283, -1
0.301, 0.000000, 3.147876, 0.006283, -1
0.302, 0.000000, 3.147876, 0.006283, -1
0.303, 0.000000, 3.147876, 0.006283, -1
0.304, 0.000000, 3.147876, 0.006283, -1
0.305, 0.000000, 3.147876, 0.006283, -1
0.306, 0.000000, 3.147876, 0.006283, -1
0.307, 0.000000, 3.147876, 0.006283, -1
0.308, 0.000000, 3.147876, 0.006283, -1
0.309, 0.000000, 3.147876, 0.006283, -1
0.310, 0.000000, 3.147876, 0.006283, -1
0.311, 0.000000, 3.147876, 0.006283, -1
0.312, 0.000000, 3.147876, 0.006283, -1
0.313, 0.000000, 3.147876, 0.006283, -1
0.314, 0.000000, 3.147876, 0.006283, -1
0.315, 0.000000, 3.147876, 0.006283, -1
0.316, 0.000000, 3.147876, 0.006283, -1
0.317, 0.000000, 3.147876, 0.006283, -1
0.318, 0.000000, 3.147876, 0.006283, -1
0.319, 0.000000, 3.147876, 0.006283, -1
0.320, 0.000000, 3.147876, 0.006283, -1
0.321, 0.000000, 3.147876, 0.006283, -1
0.322, 0.000000, 3.147876, 0.006283, -1
0.323, 0.000000, 3.147876, 0.006283, -1
0.324, 0.000000, 3.147876, 0.006283, -1
0.325, 0.000000, 3.147876, 0.006283, -1
0.326, 0.000000, 3.147876, 0.006283, -1
0.327, 0.000000, 3.147876, 0.006283, -1
0.328, 0.000000, 3.147876, 0.006283, -1
0.329, 0.000000, 3.147876, 0.006283, -1
0.330, 0.000000, 3.147876, 0.006283, -1
0.331, 0.000000, 3.147876, 0.006283, -1
0.332, 0.000000, 3.147876, 0.006283, -1
0.333, 0.000000, 3.147876, 0.006283, -1
0.334, 0.000000, 3.147876, 0.006283, -1
0.335, 0.000000, 3.147876, 0.006283, -1
0.336, 0.000000, 3.147876, 0.006283, -1
0.337, 0.000000, 3.147876, 0.006283, -1
0.338, 0.000000, 3.147876, 0.006283, -1
0.339, 0.000000, 3.147876, 0.006283, -1
0.340, 0.000000, 3.147876, 0.006283, -1
0.341, 0.000000, 3.147876, 0.006283, -1
0.342, 0.000000, 3.147876, 0.006283, -1
0.343, 0.000000, 3.147876, 0.006283, -1
0.344, 0.000000, 3.147876, 0.006283, -1
0.345, 0.000000, 3.147876, 0.006283, -1
0.346, 0.000000, 3.147876, 0.006283, -1
0.347, 0.000000, 3.147876, 0.006283, -1
0.348, 0.000000, 3.147876, 0.006283, -1
0.349, 0.000000, 3.147876, 0.006283, -1
0.350, 0.000000, 3.147876, 0.006283, -1
0.351, 0.000000, 3.147876, 0.006283, -1
0.352, 0.000000, 3.147876, 0.006283, -1
0.353, 0.000000, 3.147876, 0.006283, -1
0.354, 0.000000, 3.147876, 0.006283, -1
0.355, 0.000000, 3.147876, 0.006283, -1
0.356, 0.000000, 3.147876, 0.006283, -1
0.357, 0.000000, 3.147876, 0.006283, -1
0.358, 0.000000, 3.147876, 0.006283, -1
0.359, 0.000000, 3.147876, 0.006283, -1
0.360, 0.000000, 3.147876, 0.006283, -1
0.361, 0.000000, 3.147876, 0.006283, -1
0.362, 0.000000, 3.147876, 0.006283, -1
0.363, 0.000000, 3.147876, 0.006283, -1
0.364, 0.000000, 3.147876, 0.006283, -1
0.365, 0.000000, 3.147876, 0.006283, -1
0.366, 0.000000, 3.147876, 0.006283, -1
0.367, 0.000000, 3.147876, 0.006283, -1
0.368, 0.000000, 3.147876, 0.006283, -1
0.369, 0.000000, 3.147876, 0.006283, -1
0.370, 0.000000, 3.147876, 0.006283, -1
0.371, 0.000000, 3.147876, 0.006283, -1
0.372, 0.000000, 3.147876, 0.006283, -1
0.373, 0.000000, 3.147876, 0.006283, -1
0.374, 0.000000, 3.147876, 0.006283, -1
0.375, 0.000000, 3.147876, 0.006283, -1
0.376, 0.000000, 3.147876, 0.006283, -1
0.377, 0.000000, 3.147876, 0.006283, -1
0.378, 0.000000, 3.147876, 0.006283, -1
0.379, 0.000000, 3.147876, 0.006283, -1
0.380, 0.000000, 3.147876, 0.006283, -1
0.381, 0.000000, 3.147876, 0.006283, -1
0.382, 0.000000, 3.147876, 0.006283, -1
0.383, 0.000000, 3.147876, 0.006283, -1
0.384, 0.000000, 3.147876, 0.006283, -1
0.385, 0.000000, 3.147876, 0.006283, -1
0.386, 0.000000, 3.147876, 0.006283, -1
0.387, 0.000000, 3.147876, 0.006283, -1
0.388, 0.000000, 3.147876, 0.006283, -1
0.389, 0.000000, 3.147876, 0.006283, -1
0.390, 0.000000, 3.147876, 0.006283, -1
0.391, 0.000000, 3.147876, 0.006283, -1
0.392, 0.000000, 3.147876, 0.006283, -1
0.393, 0.000000, 3.147876, 0.006283, -1
0.394, 0.000000, 3.147876, 0.006283, -1
0.395, 0.000000, 3.147876, 0.006283, -1
0.396, 0.000000, 3.147876, 0.006283, -1
0.397, 0.000000, 3.147876, 0.006283, -1
0.398, 0.000000, 3.147876, 0.006283, -1
0.399, 0.000000, 3.147876, 0.006283, -1
0.400, 0.000000, 3.147876, 0.006283, -1
0.401, 0.000000, 3.147876, 0.006283, -1
0.402, 0.000000, 3.147876, 0.006283, -1
0.403, 0.000000, 3.147876, 0.006283, -1
0.404, 0.000000, 3.147876, 0.006283, -1
0.405, 0.000000, 3.147876, 0.006283, -1
0.406, 0.000000, 3.147876, 0.006283, -1
0.407, 0.000000, 3.147876, 0.006283, -1
0.408, 0.000000, 3.147876, 0.006283, -1
0.409, 0.000000, 3.147876, 0.006283, -1
0.410, 0.000000, 3.147876, 0.006283, -1
0.411, 0.000000, 3.147876, 0.006283, -1
0.412, 0.000000, 3.147876, 0.006283, -1
0.413, 0.000000, 3.147876, 0.006283, -1
0.414, 0.000000, 3.147876, 0.006283, -1
0.415, 0.000000, 3.147876, 0.006283, -1
0.416, 0.000000, 3.147876, 0.006283, -1
0.417, 0.000000, 3.147876, 0.006283, -1
0.418, 0.000000, 3.147876, 0.006283, -1
0.419, 0.000000, 3.147876, 0.006283, -1
0.420, 0.000000, 3.147876, 0.006283, -1
0.421, 0.000000, 3.147876, 0.006283, -1
0.422, 0.000000, 3.147876, 0.006283, -1
0.423, 0.000000, 3.147876, 0.006283, -1
0.424, 0.000000, 3.147876, 0.006283, -1
0.425, 0.000000, 3.147876, 0.006283, -1
0.426, 0.000000, 3.147876, 0.006283, -1
0.427, 0.000000, 3.147876, 0.006283, -1
0.428, 0.000000, 3.147876, 0.006283, -1
0.429, 0.000000, 3.147876, 0.006283, -1
0.430, 0.000000, 3.147876, 0.006283, -1
0.431, 0.000000, 3.147876, 0.006283, -1
0.432, 0.000000, 3.147876, 0.006283, -1
0.433, 0.000000, 3.147876, 0.006283, -1
0.434, 0.000000, 3.147876, 0.006283, -1
0.435, 0.000000, 3.147876, 0.006283, -1
0.436, 0.000000, 3.147876, 0.006283, -1
0.437, 0.000000, 3.147876, 0.006283, -1
0.438, 0.000000, 3.147876, 0.006283, -1
0.439, 0.000000, 3.147876, 0.006283, -1
0.440, 0.000000, 3.147876, 0.006283, -1
0.441, 0.000000, 3.147876, 0.006283, -1
0.442, 0.000000, 3.147876, 0.006283, -1
0.443, 0.000000, 3.147876, 0.006283, -1
0.444, 0.000000, 3.147876, 0.006283, -1
