phi_12, phi_13
0.000000, 2.092301
0.000000, 2.095442
0.000000, 2.108009
0.000000, 2.111150
0.000000, 2.114292
0.000000, 2.117433
0.000000, 2.130000
0.000000, 2.133141
0.000000, 2.136283
0.000000, 2.139425
0.000000, 2.148849
0.000000, 2.151991
0.000000, 2.155133
0.000000, 2.170841
0.000000, 2.180265
0.000000, 2.183407
0.000000, 2.186548
0.000000, 2.189690
0.000000, 2.192832
0.000000, 2.195973
0.000000, 2.217964
0.000000, 2.221106
0.000000, 2.224248
0.000000, 2.239956
0.000000, 2.243097
0.000000, 2.246239
0.000000, 2.258805
0.000000, 2.261947
0.000000, 2.265088
0.000000, 2.268230
0.000000, 2.274513
0.000000, 2.277655
0.000000, 2.280796
0.000000, 2.290221
0.000000, 2.293363
0.000000, 2.318495
0.000000, 2.321637
0.000000, 2.327920
0.000000, 2.331062
0.000000, 2.334203
0.000000, 2.337345
0.000000, 2.340487
0.000000, 2.343628
0.000000, 2.346770
0.000000, 2.349911
0.000000, 2.359336
0.000000, 2.362478
0.000000, 2.378186
0.000000, 2.384469
0.000000, 2.387610
0.000000, 2.390752
0.000000, 2.400177
0.000000, 2.403318
0.000000, 2.406460
0.000000, 2.409602
0.000000, 2.412743
0.000000, 2.415885
0.000000, 2.419026
0.000000, 2.422168
0.000000, 2.425310
0.000000, 2.428451
0.000000, 2.431593
0.000000, 2.437876
0.000000, 2.441017
0.000000, 2.444159
0.000000, 2.453584
0.000000, 2.456725
0.000000, 2.463009
0.000000, 2.466150
0.000000, 2.469292
0.000000, 2.472433
0.000000, 2.478717
0.000000, 2.481858
0.000000, 2.497566
0.000000, 2.506991
0.000000, 2.510133
0.000000, 2.516416
0.000000, 2.522699
0.000000, 2.528982
0.000000, 2.532124
0.000000, 2.535265
0.000000, 2.538407
0.000000, 2.544690
0.000000, 2.547832
0.000000, 2.572964
0.000000, 2.576106
0.000000, 2.582389
0.000000, 2.588672
0.000000, 2.591814
0.000000, 2.601239
0.000000, 2.604380
0.000000, 2.607522
0.000000, 2.616947
0.000000, 2.620088
0.000000, 2.623230
0.000000, 2.629513
0.000000, 2.632655
0.000000, 2.635796
0.000000, 2.642079
0.000000, 2.645221
0.000000, 2.648363
0.000000, 2.651504
0.000000, 2.676637
0.000000, 2.679779
0.000000, 2.682920
0.000000, 2.686062
0.000000, 2.698628
0.000000, 2.701770
0.000000, 2.711194
0.000000, 2.714336
0.000000, 2.730044
0.000000, 2.742610
0.000000, 2.758318
0.000000, 2.761460
0.000000, 2.764602
0.000000, 2.767743
0.000000, 2.770885
0.000000, 2.774026
0.000000, 2.783451
0.000000, 2.786593
0.000000, 2.802301
0.000000, 2.811725
0.000000, 2.814867
0.000000, 2.827433
0.000000, 2.840000
0.000000, 2.861991
0.000000, 2.877699
0.000000, 2.880840
0.000000, 2.893407
0.000000, 2.899690
0.000000, 2.902832
0.000000, 2.909115
0.000000, 2.915398
0.000000, 2.921681
0.000000, 2.924823
0.000000, 2.934248
0.000000, 2.937389
0.000000, 2.940531
0.000000, 2.943672
0.000000, 2.946814
0.000000, 2.949956
0.000000, 2.953097
0.000000, 2.956239
0.000000, 2.965663
0.000000, 2.968805
0.000000, 2.978230
0.000000, 2.993938
0.000000, 2.997079
0.000000, 3.003363
0.000000, 3.009646
0.000000, 3.025354
0.000000, 3.037920
0.000000, 3.041062
0.000000, 3.044203
0.000000, 3.047345
0.000000, 3.050486
0.000000, 3.069336
0.000000, 3.075619
0.000000, 3.078761
0.000000, 3.088186
0.000000, 3.091327
0.000000, 3.094469
0.000000, 3.100752
0.000000, 3.107035
0.000000, 3.119602
0.000000, 3.122743
0.000000, 3.144734
0.000000, 3.154159
0.000000, 3.163584
0.000000, 3.166725
0.000000, 3.169867
0.000000, 3.201283
0.000000, 3.204425
0.000000, 3.235840
0.000000, 3.242124
0.000000, 3.251548
0.000000, 3.257832
0.000000, 3.260973
0.000000, 3.301814
0.000000, 3.308097
0.000000, 3.311239
0.000000, 3.317522
0.000000, 3.323805
0.000000, 3.333230
0.000000, 3.336371
0.000000, 3.352079
0.000000, 3.355221
0.000000, 3.358363
0.000000, 3.361504
0.000000, 3.370929
0.000000, 3.374071
0.000000, 3.380354
0.000000, 3.383495
0.000000, 3.386637
0.000000, 3.399203
0.000000, 3.402345
0.000000, 3.427478
0.000000, 3.436902
0.000000, 3.440044
0.000000, 3.452610
0.000000, 3.455752
0.000000, 3.474601
0.000000, 3.487168
0.000000, 3.493451
0.000000, 3.496593
0.000000, 3.509159
0.000000, 3.512301
0.000000, 3.518584
0.000000, 3.521725
0.000000, 3.534292
0.000000, 3.537433
0.000000, 3.540575
0.000000, 3.543717
0.000000, 3.546858
0.000000, 3.550000
0.000000, 3.559424
0.000000, 3.562566
0.000000, 3.565708
0.000000, 3.584557
0.000000, 3.590840
0.000000, 3.609690
0.000000, 3.612832
0.000000, 3.615973
0.000000, 3.622256
0.000000, 3.637964
0.000000, 3.641106
0.000000, 3.647389
0.000000, 3.650531
0.000000, 3.653672
0.000000, 3.656814
0.000000, 3.659955
0.000000, 3.675663
0.000000, 3.678805
0.000000, 3.681947
0.000000, 3.685088
0.000000, 3.710221
0.000000, 3.713363
0.000000, 3.719646
0.000000, 3.725929
0.000000, 3.729070
0.000000, 3.732212
0.000000, 3.735354
0.000000, 3.747920
0.000000, 3.751062
0.000000, 3.754203
0.000000, 3.763628
0.000000, 3.769911
0.000000, 3.773053
0.000000, 3.776194
0.000000, 3.779336
0.000000, 3.782478
0.000000, 3.798186
0.000000, 3.801327
0.000000, 3.820177
0.000000, 3.823318
0.000000, 3.826460
0.000000, 3.829601
0.000000, 3.832743
0.000000, 3.842168
0.000000, 3.845309
0.000000, 3.864159
0.000000, 3.867301
0.000000, 3.876725
0.000000, 3.879867
0.000000, 3.883009
0.000000, 3.886150
0.000000, 3.911283
0.000000, 3.917566
0.000000, 3.920708
0.000000, 3.930132
0.000000, 3.933274
0.000000, 3.942699
0.000000, 3.945840
0.000000, 3.958407
0.000000, 3.961548
0.000000, 3.964690
0.000000, 3.977256
0.000000, 3.980398
0.000000, 3.983539
0.000000, 3.986681
0.000000, 3.996106
0.000000, 3.999247
0.000000, 4.002389
0.000000, 4.011814
0.000000, 4.014955
0.000000, 4.027522
0.000000, 4.033805
0.000000, 4.036947
0.000000, 4.049513
0.000000, 4.052655
0.000000, 4.065221
0.000000, 4.074646
0.000000, 4.077787
0.000000, 4.084070
0.000000, 4.087212
0.000000, 4.090354
0.000000, 4.093495
0.000000, 4.096637
0.000000, 4.102920
0.000000, 4.106062
0.000000, 4.109203
0.000000, 4.112345
0.000000, 4.115486
0.000000, 4.118628
0.000000, 4.121770
0.000000, 4.124911
0.000000, 4.128053
0.000000, 4.137478
0.000000, 4.143761
0.000000, 4.146902
0.000000, 4.150044
0.000000, 4.153185
0.000000, 4.156327
0.000000, 4.159469
0.000000, 4.172035
0.000000, 4.175177
0.000000, 4.178318
0.000000, 4.187743
0.000000, 4.190885
0.000000, 4.194026
0.000000, 4.197168
0.000000, 4.216017
0.000000, 4.219159
0.000000, 4.222301
0.000000, 4.228584
0.000000, 4.231725
0.000000, 4.238008
0.000000, 4.241150
0.000000, 4.250575
0.000000, 4.253716
0.000000, 4.256858
0.000000, 4.260000
0.000000, 4.269424
0.000000, 4.278849
0.000000, 4.281991
0.000000, 4.300840
0.000000, 4.303982
0.000000, 4.313407
0.000000, 4.316548
0.000000, 4.319690
0.000000, 4.322831
0.000000, 4.325973
0.000000, 4.329115
0.000000, 4.341681
0.000000, 4.344823
0.000000, 4.354247
0.000000, 4.357389
0.000000, 4.360531
0.000000, 4.363672
0.000000, 4.366814
0.000000, 4.369955
0.000000, 4.373097
0.000000, 4.376239
0.000000, 4.379380
0.000000, 4.385663
0.000000, 4.391947
0.000000, 4.401371
0.000000, 4.404513
0.000000, 4.407654
0.000000, 4.410796
0.000000, 4.413938
0.000000, 4.429646
0.000000, 4.432787
0.000000, 4.435929
0.000000, 4.439070
0.000000, 4.442212
0.000000, 4.451637
0.000000, 4.454778
0.000000, 4.461062
0.000000, 4.464203
0.000000, 4.467345
0.000000, 4.470486
0.000000, 4.483053
0.000000, 4.498761
0.000000, 4.501902
0.000000, 4.505044
0.000000, 4.508185
0.000000, 4.517610
0.000000, 4.520752
0.000000, 4.523893
0.000000, 4.527035
0.000000, 4.530177
0.000000, 4.533318
0.000000, 4.539601
0.000000, 4.542743
0.000000, 4.545885
0.000000, 4.549026
0.000000, 4.552168
0.000000, 4.558451
0.000000, 4.564734
0.000000, 4.567876
0.000000, 4.571017
0.000000, 4.574159
0.000000, 4.577300
0.000000, 4.580442
0.000000, 4.586725
0.000000, 4.589867
0.000000, 4.593008
0.000000, 4.596150
0.000000, 4.605575
0.000000, 4.608716
0.000000, 4.615000
0.000000, 4.618141
0.000000, 4.630708
0.000000, 4.633849
0.000000, 4.636991
0.000000, 4.640132
0.000000, 4.643274
0.000000, 4.646416
0.000000, 4.649557
0.000000, 4.652699
0.000000, 4.655840
0.000000, 4.658982
0.000000, 4.662123
0.000000, 4.665265
0.000000, 4.668407
0.000000, 4.671548
0.000000, 4.674690
0.000000, 4.677831
0.000000, 4.680973
0.000000, 4.684115
0.000000, 4.693539
0.000000, 4.696681
0.000000, 4.702964
0.000000, 4.706106
0.000000, 4.709247
0.000000, 4.715531
0.000000, 4.718672
0.000000, 4.721814
0.000000, 4.734380
0.000000, 4.737522
0.000000, 4.740663
0.000000, 4.746946
0.000000, 4.750088
0.000000, 4.753230
0.000000, 4.756371
0.000000, 4.759513
0.000000, 4.762654
0.000000, 4.768938
0.000000, 4.772079
0.000000, 4.775221
0.000000, 4.784646
0.000000, 4.787787
0.000000, 4.790929
0.000000, 4.794070
0.000000, 4.797212
0.000000, 4.800354
0.000000, 4.803495
0.000000, 4.806637
0.000000, 4.809778
0.000000, 4.812920
0.000000, 4.816062
0.000000, 4.819203
0.000000, 4.822345
0.000000, 4.825486
0.000000, 4.831770
0.000000, 4.834911
0.000000, 4.838053
0.000000, 4.841194
0.000000, 4.844336
0.000000, 4.847477
0.000000, 4.853761
0.000000, 4.856902
0.000000, 4.866327
0.000000, 4.869469
0.000000, 4.875752
0.000000, 4.878893
0.000000, 4.882035
0.000000, 4.891460
0.000000, 4.904026
0.000000, 4.907168
0.000000, 4.910309
0.000000, 4.913451
0.000000, 4.926017
0.000000, 4.929159
0.000000, 4.938584
0.000000, 4.941725
0.000000, 4.944867
0.000000, 4.957433
0.000000, 4.960575
0.000000, 4.963716
0.000000, 4.970000
0.000000, 4.973141
0.000000, 4.979424
0.000000, 4.988849
0.000000, 4.991991
0.000000, 4.995132
0.000000, 4.998274
0.000000, 5.004557
0.000000, 5.007699
0.000000, 5.010840
0.000000, 5.013982
0.000000, 5.017123
0.000000, 5.020265
0.000000, 5.023407
0.000000, 5.026548
0.000000, 5.029690
0.000000, 5.042256
0.000000, 5.045398
0.000000, 5.048539
0.000000, 5.057964
0.000000, 5.064247
0.000000, 5.083097
0.000000, 5.092522
0.000000, 5.095663
0.000000, 5.098805
0.000000, 5.101946
0.000000, 5.105088
0.000000, 5.108230
0.000000, 5.111371
0.000000, 5.114513
0.000000, 5.117654
0.000000, 5.130221
0.000000, 5.142787
0.000000, 5.152212
0.000000, 5.155354
0.000000, 5.158495
0.000000, 5.161637
0.000000, 5.164778
0.000000, 5.167920
0.000000, 5.174203
0.000000, 5.189911
0.000000, 5.196194
0.000000, 5.215044
0.000000, 5.218185
0.000000, 5.221327
0.000000, 5.224469
0.000000, 5.230752
0.000000, 5.243318
0.000000, 5.246460
0.000000, 5.249601
0.000000, 5.252743
0.000000, 5.255885
0.000000, 5.259026
0.000000, 5.262168
0.000000, 5.265309
0.000000, 5.271592
0.000000, 5.274734
0.000000, 5.281017
0.000000, 5.284159
0.000000, 5.290442
0.000000, 5.293584
0.000000, 5.296725
0.000000, 5.299867
0.000000, 5.303008
0.000000, 5.306150
0.000000, 5.309292
0.000000, 5.312433
0.000000, 5.315575
0.000000, 5.318716
0.000000, 5.328141
0.000000, 5.340708
0.000000, 5.350132
0.000000, 5.356415
0.000000, 5.359557
0.000000, 5.362699
0.000000, 5.384690
0.000000, 5.394115
0.000000, 5.397256
0.000000, 5.409823
0.000000, 5.412964
0.000000, 5.419247
0.000000, 5.422389
0.000000, 5.425531
0.000000, 5.428672
0.000000, 5.431814
0.000000, 5.434955
0.000000, 5.441238
0.000000, 5.444380
0.000000, 5.450663
0.000000, 5.453805
0.000000, 5.456946
0.000000, 5.460088
0.000000, 5.469513
0.000000, 5.472654
0.000000, 5.482079
0.000000, 5.485221
0.000000, 5.491504
0.000000, 5.504070
0.000000, 5.507212
0.000000, 5.510354
0.000000, 5.513495
0.000000, 5.516637
0.000000, 5.519778
0.000000, 5.541769
0.000000, 5.544911
0.000000, 5.560619
0.000000, 5.576327
0.000000, 5.592035
0.000000, 5.595177
0.000000, 5.614026
0.000000, 5.617168
0.000000, 5.626592
0.000000, 5.629734
0.000000, 5.639159
0.000000, 5.658008
0.000000, 5.676858
0.000000, 5.692566
0.000000, 5.695707
0.000000, 5.705132
0.000000, 5.711415
0.000000, 5.742831
0.000000, 5.745973
0.000000, 5.758539
0.000000, 5.764823
0.000000, 5.780530
0.000000, 5.783672
0.000000, 5.802522
0.000000, 5.811946
0.000000, 6.022433
0.000000, 6.025575
0.000000, 6.028716
0.003142, 2.538407
0.003142, 3.744778
0.003142, 3.747920
0.006283, 2.538407
0.006283, 2.541548
0.006283, 3.747920
0.009425, 2.541548
0.009425, 3.747920
0.009425, 3.751062
0.012566, 2.541548
0.012566, 2.544690
0.012566, 3.751062
0.015708, 2.544690
0.015708, 3.751062
0.015708, 3.754203
0.018850, 2.544690
0.018850, 2.547832
0.018850, 3.754203
0.021991, 2.547832
0.021991, 3.754203
0.021991, 3.757345
0.025133, 2.547832
0.025133, 2.550973
0.025133, 3.757345
0.028274, 2.550973
0.028274, 3.757345
0.028274, 3.760486
0.031416, 2.550973
0.031416, 2.554115
0.031416, 3.760486
0.034558, 2.554115
0.034558, 3.760486
0.034558, 3.763628
0.037699, 2.554115
0.037699, 2.557256
0.037699, 3.763628
0.040841, 2.557256
0.040841, 3.763628
0.040841, 3.766770
0.043982, 2.557256
0.043982, 2.560398
0.043982, 3.766770
0.047124, 2.560398
0.047124, 3.766770
0.047124, 3.769911
0.050265, 2.560398
0.050265, 2.563540
0.050265, 3.769911
0.053407, 2.563540
0.053407, 3.769911
0.053407, 3.773053
0.056549, 2.563540
0.056549, 2.566681
0.056549, 3.773053
0.059690, 2.566681
0.059690, 3.773053
0.059690, 3.776194
0.062832, 2.566681
0.062832, 2.569823
