phi, gamma0, gamma0.25, gamma0.5, gamma0.75, gamma1.0
2.827433, 0.618034, 0.911927, 1.205819, 1.499712, 1.793604
2.858849, 0.557982, 0.825896, 1.093809, 1.361722, 1.629636
2.890265, 0.497380, 0.738257, 0.979133, 1.220010, 1.460887
2.921681, 0.436286, 0.649176, 0.862066, 1.074955, 1.287845
2.953097, 0.374763, 0.558825, 0.742887, 0.926949, 1.111012
2.984513, 0.312869, 0.467377, 0.621886, 0.776394, 0.930903
3.015929, 0.250666, 0.375011, 0.499356, 0.623701, 0.748046
3.047345, 0.188217, 0.281907, 0.375598, 0.469289, 0.562979
3.078761, 0.125581, 0.188248, 0.250914, 0.313581, 0.376248
3.110177, 0.062822, 0.094217, 0.125612, 0.157007, 0.188403
3.141593, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3.173009, -0.062822, -0.094217, -0.125612, -0.157007, -0.188403
3.204425, -0.125581, -0.188248, -0.250914, -0.313581, -0.376248
3.235840, -0.188217, -0.281907, -0.375598, -0.469289, -0.562979
3.267256, -0.250666, -0.375011, -0.499356, -0.623701, -0.748046
3.298672, -0.312869, -0.467377, -0.621886, -0.776394, -0.930903
3.330088, -0.374763, -0.558825, -0.742887, -0.926949, -1.111012
3.361504, -0.436286, -0.649176, -0.862066, -1.074955, -1.287845
3.392920, -0.497380, -0.738257, -0.979133, -1.220010, -1.460887
3.424336, -0.557982, -0.825896, -1.093809, -1.361722, -1.629636
3.455752, -0.618034, -0.911927, -1.205819, -1.499712, -1.793604
3.487168, -0.677476, -0.996188, -1.314900, -1.633612, -1.952324
3.518584, -0.736249, -1.078523, -1.420796, -1.763070, -2.105343
3.550000, -0.794296, -1.158780, -1.523264, -1.887749, -2.252233
3.581416, -0.851559, -1.236815, -1.622072, -2.007328, -2.392585
3.612832, -0.907981, -1.312489, -1.716998, -2.121506, -2.526015
3.644247, -0.963507, -1.385671, -1.807835, -2.229999, -2.652163
3.675663, -1.018083, -1.456236, -1.894390, -2.332543, -2.770696
3.707079, -1.071654, -1.524067, -1.976481, -2.428894, -2.881308
